feature,mean_abs_shap
PAY_0,0.3457907964701676
max_pay_delay,0.23184816699053884
num_delayed_months,0.12741779093731306
avg_pay_delay,0.10916423923746083
utilization_current,0.08822154103489176
LIMIT_BAL,0.0737079963246281
avg_utilization,0.06546250301366634
recent_bill_change,0.05648330220541917
avg_pay_amt,0.05058795466991512
avg_payment_to_bill_ratio,0.047227425628793736
std_bill_amt,0.044548185630510655
MARRIAGE,0.043340335777112875
PAY_AMT3,0.042823042470649976
avg_bill_amt,0.03723502736092092
PAY_AMT4,0.03683522344623214
BILL_AMT1,0.03600586038409888
PAY_AMT1,0.035470587251019786
EDUCATION,0.035312135693573936
PAY_AMT2,0.03269450917673795
SEX,0.03170968751797543
payment_to_bill_ratio_1,0.029704259120237053
PAY_5,0.023718305991635356
std_pay_amt,0.022927026239562835
PAY_AMT6,0.020039468576847814
PAY_AMT5,0.019621195545691646
max_pay_amt,0.01782106856231038
BILL_AMT3,0.016879925325885514
BILL_AMT5,0.016296293190017887
max_bill_amt,0.013937726470003697
BILL_AMT2,0.013578331562047616
AGE,0.011667550540696283
PAY_3,0.011634793167048428
recent_payment_change,0.01088425966625765
PAY_6,0.00952236376281391
PAY_4,0.008829641200699226
BILL_AMT4,0.00807223060750048
PAY_2,0.004692662379801101
BILL_AMT6,0.004350150242653892
