feature,mean_abs_shap
PAY_0,0.32289808776066836
max_pay_delay,0.19333357991778627
num_delayed_months,0.14239709860649755
LIMIT_BAL,0.10285897571998077
utilization_current,0.09150587415781473
avg_utilization,0.08843011489148758
avg_pay_delay,0.07787627245490115
PAY_AMT1,0.07583400645612212
recent_bill_change,0.06904757543902082
BILL_AMT1,0.06899847434365065
MARRIAGE,0.05810454943440564
std_bill_amt,0.05586658579755078
PAY_AMT2,0.04918969946562874
PAY_2,0.04207784011146187
EDUCATION,0.0404368412253205
SEX,0.040399583092889615
PAY_AMT3,0.03948043529096355
PAY_6,0.037390180073682965
avg_payment_to_bill_ratio,0.03516239110623267
payment_to_bill_ratio_1,0.033813613123639515
PAY_AMT6,0.03156300822032097
max_pay_amt,0.029070860393680856
max_bill_amt,0.02775004116002672
avg_bill_amt,0.026492128194815313
PAY_AMT4,0.02557293165070487
PAY_AMT5,0.025199204640279253
avg_pay_amt,0.024471790168149755
PAY_4,0.022523243165699695
BILL_AMT2,0.018737468532076442
BILL_AMT5,0.018293647445219562
recent_payment_change,0.015393822848613486
std_pay_amt,0.015164226074738094
AGE,0.014580892721154733
BILL_AMT3,0.013671023726811785
PAY_3,0.012865967657447758
PAY_5,0.01046456984069637
BILL_AMT4,0.009268027249095588
BILL_AMT6,0.00854621637218735
