feature,mean_abs_shap
max_pay_delay,0.23602024782112016
PAY_0,0.0777165996033109
num_delayed_months,0.06204134103118621
avg_pay_amt,0.04354414422090364
utilization_current,0.04161979492260633
LIMIT_BAL,0.038069841634332524
avg_payment_to_bill_ratio,0.02903633429817193
max_pay_amt,0.02859181799359217
BILL_AMT2,0.02756670794718235
avg_pay_delay,0.026937744744808888
recent_bill_change,0.019967629039841776
avg_bill_amt,0.018371705980651982
max_bill_amt,0.01264744375538197
PAY_AMT2,0.01046379398767746
BILL_AMT1,0.009112806983379655
std_pay_amt,0.00833577953146313
std_bill_amt,0.008161027970128229
avg_utilization,0.007230587494368768
PAY_6,0.005857230598448315
PAY_AMT1,0.005556230469243782
PAY_AMT4,0.005061065618378148
PAY_AMT3,0.00493109919004625
BILL_AMT3,0.004364117208457534
PAY_2,0.004094423204645391
PAY_AMT6,0.0038888492860043615
recent_payment_change,0.0034739130380816094
PAY_AMT5,0.003434294084761061
AGE,0.0029511866885506164
BILL_AMT4,0.0021935079200147154
payment_to_bill_ratio_1,0.002024671214408262
BILL_AMT5,0.0017868308726709727
MARRIAGE,0.0011000607667780505
BILL_AMT6,0.0009784140314081486
SEX,8.720020434269624e-05
EDUCATION,0.0
PAY_3,0.0
PAY_4,0.0
PAY_5,0.0
