feature,mean_abs_importance,mean_mask
PAY_0,0.20349695,0.20349695
max_pay_delay,0.13429926,0.13429926
avg_pay_delay,0.09512259,0.09512259
PAY_AMT2,0.09031596,0.09031596
num_delayed_months,0.085052244,0.085052244
avg_payment_to_bill_ratio,0.051859055,0.051859055
avg_pay_amt,0.0478747,0.0478747
PAY_4,0.040333904,0.040333904
LIMIT_BAL,0.039319426,0.039319426
utilization_current,0.0323792,0.0323792
BILL_AMT2,0.02696022,0.02696022
PAY_2,0.025018608,0.025018608
avg_bill_amt,0.024289878,0.024289878
AGE,0.015648494,0.015648494
PAY_AMT4,0.01537809,0.01537809
BILL_AMT5,0.015330571,0.015330571
avg_utilization,0.012129722,0.012129722
std_bill_amt,0.012037825,0.012037825
max_bill_amt,0.008494134,0.008494134
EDUCATION,0.005587737,0.005587737
PAY_AMT6,0.0052134036,0.0052134036
recent_bill_change,0.003755477,0.003755477
std_pay_amt,0.002975214,0.002975214
BILL_AMT4,0.0017109204,0.0017109204
payment_to_bill_ratio_1,0.0015877566,0.0015877566
PAY_3,0.0009063274,0.0009063274
BILL_AMT6,0.00082651497,0.00082651497
PAY_6,0.00069801486,0.00069801486
PAY_AMT1,0.0006334567,0.0006334567
BILL_AMT1,0.00023409858,0.00023409858
PAY_5,0.00020264491,0.00020264491
PAY_AMT5,0.0001541217,0.0001541217
PAY_AMT3,8.6457505e-05,8.6457505e-05
SEX,8.220707e-05,8.220707e-05
recent_payment_change,4.810318e-06,4.810318e-06
BILL_AMT3,0.0,0.0
max_pay_amt,0.0,0.0
MARRIAGE,0.0,0.0
