feature,mean_abs_shap
PAY_0,0.4278281291260794
num_delayed_months,0.20038731029676315
max_pay_delay,0.18089212234431085
LIMIT_BAL,0.11296009490652355
utilization_current,0.07809136270949725
recent_bill_change,0.07675871709582908
PAY_AMT1,0.07655807526115997
avg_pay_delay,0.06890843956145269
avg_utilization,0.0663798489790222
BILL_AMT1,0.0625968031790676
std_bill_amt,0.047480520868109694
payment_to_bill_ratio_1,0.04358378921942884
PAY_AMT3,0.04303765493360437
SEX,0.04185671866992939
MARRIAGE,0.04139776345290513
PAY_AMT2,0.037725627930744986
EDUCATION,0.03719337728677816
avg_payment_to_bill_ratio,0.033162973498672504
PAY_AMT4,0.02962346547809449
PAY_5,0.025194672785897182
avg_bill_amt,0.02231440842414076
BILL_AMT5,0.02229757428415619
PAY_3,0.022024752601924213
AGE,0.020248787736683718
BILL_AMT2,0.01983918057356151
avg_pay_amt,0.019587774392356302
PAY_AMT5,0.01905081084219386
PAY_6,0.018952617795203006
PAY_AMT6,0.018310765280163174
max_bill_amt,0.017989365302511655
BILL_AMT3,0.016805248083714464
max_pay_amt,0.01486846927617442
PAY_4,0.01444417487554729
PAY_2,0.01345594950012427
std_pay_amt,0.012042508616590791
BILL_AMT4,0.01045327854024978
recent_payment_change,0.01022114212195528
BILL_AMT6,0.007869255360999656
