feature,mean_abs_importance,mean_mask
num_delayed_months,0.23093162,0.23093162
max_pay_delay,0.15704882,0.15704882
avg_utilization,0.103084825,0.103084825
avg_pay_amt,0.084295675,0.084295675
BILL_AMT2,0.076989524,0.076989524
PAY_4,0.06719499,0.06719499
BILL_AMT6,0.050217148,0.050217148
LIMIT_BAL,0.045160025,0.045160025
PAY_2,0.037980095,0.037980095
PAY_5,0.026130415,0.026130415
PAY_AMT5,0.025945786,0.025945786
avg_payment_to_bill_ratio,0.020378204,0.020378204
PAY_6,0.0118524395,0.0118524395
SEX,0.0099707525,0.0099707525
PAY_AMT3,0.0072111445,0.0072111445
PAY_0,0.006167032,0.006167032
recent_payment_change,0.006003294,0.006003294
MARRIAGE,0.0059747295,0.0059747295
max_pay_amt,0.0052274275,0.0052274275
PAY_AMT6,0.004893177,0.004893177
PAY_AMT4,0.003547226,0.003547226
utilization_current,0.003146002,0.003146002
PAY_AMT1,0.0023579476,0.0023579476
BILL_AMT3,0.0019012715,0.0019012715
EDUCATION,0.0013480493,0.0013480493
AGE,0.0012812866,0.0012812866
BILL_AMT4,0.001256021,0.001256021
std_bill_amt,0.00095892494,0.00095892494
recent_bill_change,0.00051225495,0.00051225495
BILL_AMT1,0.00021646268,0.00021646268
max_bill_amt,0.00019749865,0.00019749865
payment_to_bill_ratio_1,0.00018722552,0.00018722552
BILL_AMT5,0.00015760843,0.00015760843
avg_bill_amt,0.000120339646,0.000120339646
avg_pay_delay,9.039772e-05,9.039772e-05
std_pay_amt,6.434171e-05,6.434171e-05
PAY_AMT2,0.0,0.0
PAY_3,0.0,0.0
