feature,mean_abs_importance,mean_mask
num_delayed_months,0.19894007,0.19894007
PAY_0,0.1924844,0.1924844
max_pay_delay,0.12154466,0.12154466
max_pay_amt,0.07877421,0.07877421
avg_pay_delay,0.06804533,0.06804533
recent_bill_change,0.043843504,0.043843504
utilization_current,0.042467535,0.042467535
LIMIT_BAL,0.024397304,0.024397304
avg_bill_amt,0.023045478,0.023045478
PAY_2,0.02282124,0.02282124
PAY_AMT1,0.021003569,0.021003569
PAY_AMT4,0.020303464,0.020303464
EDUCATION,0.019189175,0.019189175
avg_payment_to_bill_ratio,0.017677078,0.017677078
PAY_3,0.013527238,0.013527238
BILL_AMT3,0.011733395,0.011733395
avg_utilization,0.010355787,0.010355787
recent_payment_change,0.009555254,0.009555254
std_pay_amt,0.008951633,0.008951633
BILL_AMT4,0.008557734,0.008557734
payment_to_bill_ratio_1,0.0070538595,0.0070538595
PAY_6,0.006359524,0.006359524
BILL_AMT1,0.005934079,0.005934079
BILL_AMT5,0.0046158074,0.0046158074
AGE,0.0041590203,0.0041590203
PAY_AMT6,0.0035068116,0.0035068116
avg_pay_amt,0.0028754594,0.0028754594
MARRIAGE,0.0023736202,0.0023736202
SEX,0.0022096853,0.0022096853
PAY_5,0.002120053,0.002120053
max_bill_amt,0.0007633398,0.0007633398
PAY_4,0.00068888854,0.00068888854
BILL_AMT6,0.00011272951,0.00011272951
BILL_AMT2,9.063441e-06,9.063441e-06
std_bill_amt,0.0,0.0
PAY_AMT2,0.0,0.0
PAY_AMT3,0.0,0.0
PAY_AMT5,0.0,0.0
