feature,mean_abs_importance,mean_mask
PAY_0,0.21842189,0.21842189
max_pay_delay,0.09106528,0.09106528
BILL_AMT2,0.08572053,0.08572053
PAY_AMT3,0.07243056,0.07243056
LIMIT_BAL,0.068256274,0.068256274
PAY_4,0.0664324,0.0664324
num_delayed_months,0.06000322,0.06000322
PAY_AMT1,0.04755652,0.04755652
PAY_2,0.045918684,0.045918684
avg_pay_delay,0.037399903,0.037399903
PAY_AMT4,0.03217067,0.03217067
BILL_AMT5,0.02797501,0.02797501
avg_utilization,0.025837071,0.025837071
recent_payment_change,0.02556107,0.02556107
avg_bill_amt,0.01834928,0.01834928
AGE,0.015161811,0.015161811
EDUCATION,0.012951717,0.012951717
PAY_5,0.010484308,0.010484308
BILL_AMT1,0.009865527,0.009865527
PAY_AMT2,0.0055345823,0.0055345823
payment_to_bill_ratio_1,0.004901663,0.004901663
BILL_AMT4,0.0039152107,0.0039152107
utilization_current,0.0033565983,0.0033565983
avg_payment_to_bill_ratio,0.00310993,0.00310993
MARRIAGE,0.002199767,0.002199767
PAY_AMT6,0.0017993324,0.0017993324
BILL_AMT6,0.0010964888,0.0010964888
SEX,0.0009848846,0.0009848846
PAY_3,0.0005790071,0.0005790071
PAY_AMT5,0.00054529443,0.00054529443
max_pay_amt,0.0001313938,0.0001313938
avg_pay_amt,0.00010491797,0.00010491797
max_bill_amt,0.000104576895,0.000104576895
BILL_AMT3,6.16518e-05,6.16518e-05
PAY_6,1.2981219e-05,1.2981219e-05
std_bill_amt,0.0,0.0
std_pay_amt,0.0,0.0
recent_bill_change,0.0,0.0
