feature,mean_abs_importance,mean_mask
num_delayed_months,0.25847742,0.25847742
max_pay_delay,0.22025445,0.22025445
BILL_AMT4,0.07957248,0.07957248
LIMIT_BAL,0.073823474,0.073823474
PAY_5,0.05967095,0.05967095
avg_pay_amt,0.057744384,0.057744384
utilization_current,0.056396127,0.056396127
recent_bill_change,0.03721214,0.03721214
PAY_2,0.028196685,0.028196685
BILL_AMT2,0.015123483,0.015123483
PAY_AMT3,0.014466859,0.014466859
recent_payment_change,0.011997886,0.011997886
std_pay_amt,0.011562304,0.011562304
PAY_AMT5,0.011548287,0.011548287
max_pay_amt,0.010639664,0.010639664
PAY_AMT6,0.010275763,0.010275763
BILL_AMT6,0.009992117,0.009992117
max_bill_amt,0.006032777,0.006032777
PAY_AMT2,0.004777045,0.004777045
PAY_AMT1,0.0039712824,0.0039712824
BILL_AMT1,0.003945202,0.003945202
BILL_AMT3,0.0031085412,0.0031085412
PAY_4,0.002852991,0.002852991
avg_bill_amt,0.002359798,0.002359798
MARRIAGE,0.0020893102,0.0020893102
SEX,0.0019148306,0.0019148306
PAY_3,0.00063052005,0.00063052005
PAY_0,0.00041765542,0.00041765542
avg_payment_to_bill_ratio,0.0002326278,0.0002326278
PAY_AMT4,0.00023084148,0.00023084148
payment_to_bill_ratio_1,0.0001983614,0.0001983614
EDUCATION,0.00013853135,0.00013853135
std_bill_amt,0.00013578882,0.00013578882
avg_utilization,9.441311e-06,9.441311e-06
AGE,0.0,0.0
BILL_AMT5,0.0,0.0
avg_pay_delay,0.0,0.0
PAY_6,0.0,0.0
