feature,mean_abs_ig
PAY_0,0.42553765
num_delayed_months,0.34483343
max_pay_delay,0.30440825
LIMIT_BAL,0.18162109
avg_utilization,0.16767825
BILL_AMT1,0.112944566
avg_pay_amt,0.08065089
avg_pay_delay,0.07686743
utilization_current,0.07178455
MARRIAGE,0.07176314
PAY_2,0.059622936
SEX,0.05909881
PAY_6,0.052142434
PAY_AMT1,0.051183794
BILL_AMT5,0.048114736
BILL_AMT3,0.047927268
PAY_3,0.04204317
EDUCATION,0.041809008
BILL_AMT4,0.041483816
PAY_4,0.03970409
PAY_AMT2,0.03787315
PAY_AMT4,0.03662078
PAY_AMT3,0.03586633
BILL_AMT2,0.03377409
avg_bill_amt,0.031324845
max_bill_amt,0.029800009
recent_bill_change,0.028091226
BILL_AMT6,0.025216594
AGE,0.024067782
max_pay_amt,0.023612686
PAY_AMT5,0.022264943
PAY_5,0.01851296
recent_payment_change,0.017495403
std_bill_amt,0.017374026
std_pay_amt,0.015945964
PAY_AMT6,0.0104157785
payment_to_bill_ratio_1,0.0009592281
avg_payment_to_bill_ratio,0.00033879557
