feature,mean_abs_shap
max_pay_delay,0.22928859178472139
PAY_0,0.08279386630165776
num_delayed_months,0.05474431024989292
utilization_current,0.04556548730694439
avg_pay_amt,0.04449135607389876
avg_payment_to_bill_ratio,0.03196526852280202
avg_bill_amt,0.027342983508585633
avg_pay_delay,0.026419946138910504
LIMIT_BAL,0.020298755368122468
PAY_AMT3,0.01792340510772915
std_bill_amt,0.015631663111505083
max_pay_amt,0.014594567192815053
BILL_AMT2,0.014217695166438848
avg_utilization,0.012603983969361387
PAY_AMT1,0.011639516846285995
payment_to_bill_ratio_1,0.010043951910980214
PAY_AMT2,0.009766643540503273
std_pay_amt,0.00887488619295973
recent_bill_change,0.008741096290447515
BILL_AMT1,0.007056424398977203
max_bill_amt,0.005686653347915031
recent_payment_change,0.005176097992519849
PAY_2,0.0047586191784712495
PAY_AMT4,0.0046508632642217876
AGE,0.004434917168393105
BILL_AMT3,0.004277132862626492
BILL_AMT4,0.0032148982782860035
PAY_AMT6,0.0022089976701088598
PAY_AMT5,0.001868496755008153
MARRIAGE,0.0017782198313968883
BILL_AMT5,0.0011310035377699414
SEX,0.00046044935413723303
BILL_AMT6,0.0003605894719338243
EDUCATION,0.0
PAY_3,0.0
PAY_4,0.0
PAY_5,0.0
PAY_6,0.0
