feature,mean_abs_ig
PAY_0,0.46586978
num_delayed_months,0.34332913
LIMIT_BAL,0.22092769
avg_utilization,0.18764904
max_pay_delay,0.15468921
avg_pay_amt,0.11894749
PAY_AMT1,0.11249907
BILL_AMT1,0.10993828
MARRIAGE,0.104706764
PAY_2,0.09783643
EDUCATION,0.0960584
BILL_AMT4,0.0949695
utilization_current,0.09412447
PAY_6,0.091109306
PAY_AMT2,0.08903513
avg_bill_amt,0.08302214
SEX,0.08157219
avg_pay_delay,0.07775144
std_pay_amt,0.07595365
BILL_AMT5,0.072836265
recent_bill_change,0.06992002
BILL_AMT2,0.069263004
BILL_AMT3,0.06397355
PAY_3,0.058197398
BILL_AMT6,0.04188382
std_bill_amt,0.03950924
PAY_5,0.03852642
AGE,0.037586633
max_bill_amt,0.0368968
PAY_4,0.027201522
recent_payment_change,0.0255202
PAY_AMT6,0.023646606
PAY_AMT3,0.022656344
max_pay_amt,0.019126644
PAY_AMT4,0.013191917
PAY_AMT5,0.013013499
avg_payment_to_bill_ratio,0.0008469457
payment_to_bill_ratio_1,0.000613995
