feature,mean_abs_importance,mean_mask
max_pay_delay,0.28597263,0.28597263
num_delayed_months,0.19821528,0.19821528
BILL_AMT2,0.09318953,0.09318953
PAY_2,0.08611957,0.08611957
recent_payment_change,0.0649452,0.0649452
LIMIT_BAL,0.0584812,0.0584812
std_pay_amt,0.04755918,0.04755918
PAY_4,0.031389553,0.031389553
max_pay_amt,0.023264162,0.023264162
recent_bill_change,0.020539341,0.020539341
avg_bill_amt,0.01999969,0.01999969
avg_utilization,0.012292048,0.012292048
PAY_AMT2,0.0116616385,0.0116616385
max_bill_amt,0.006400424,0.006400424
MARRIAGE,0.0060089557,0.0060089557
BILL_AMT6,0.00592152,0.00592152
BILL_AMT5,0.0045700693,0.0045700693
PAY_AMT1,0.004530248,0.004530248
avg_pay_amt,0.0042939293,0.0042939293
AGE,0.003634979,0.003634979
EDUCATION,0.0022011586,0.0022011586
PAY_0,0.0018458219,0.0018458219
std_bill_amt,0.001737184,0.001737184
BILL_AMT3,0.0016894229,0.0016894229
PAY_3,0.0015167423,0.0015167423
SEX,0.00042939346,0.00042939346
PAY_AMT4,0.00038636292,0.00038636292
utilization_current,0.0003168536,0.0003168536
PAY_6,0.00031542667,0.00031542667
BILL_AMT4,0.00026048048,0.00026048048
payment_to_bill_ratio_1,0.00022449074,0.00022449074
PAY_AMT5,7.115473e-05,7.115473e-05
PAY_AMT6,1.6381251e-05,1.6381251e-05
BILL_AMT1,0.0,0.0
avg_pay_delay,0.0,0.0
PAY_AMT3,0.0,0.0
avg_payment_to_bill_ratio,0.0,0.0
PAY_5,0.0,0.0
