feature,mean_abs_ig
PAY_0,0.5159842
num_delayed_months,0.31742737
max_pay_delay,0.18994966
avg_utilization,0.1857804
LIMIT_BAL,0.16314183
PAY_AMT1,0.09267917
max_bill_amt,0.089417264
utilization_current,0.081505306
avg_pay_amt,0.079649396
SEX,0.07469496
BILL_AMT2,0.07390381
PAY_6,0.07174899
MARRIAGE,0.06757643
BILL_AMT6,0.06722286
PAY_2,0.056699857
recent_bill_change,0.05361468
EDUCATION,0.052922085
PAY_5,0.052001856
BILL_AMT1,0.051983636
avg_pay_delay,0.050334487
avg_bill_amt,0.048550293
BILL_AMT3,0.044692688
PAY_AMT2,0.042821173
AGE,0.037968334
std_bill_amt,0.034008414
BILL_AMT5,0.03198334
PAY_4,0.027533794
PAY_AMT3,0.026792832
BILL_AMT4,0.022536471
PAY_AMT6,0.019419152
PAY_AMT4,0.017874924
PAY_3,0.01696128
std_pay_amt,0.016617246
PAY_AMT5,0.01644323
recent_payment_change,0.013424138
max_pay_amt,0.012879242
payment_to_bill_ratio_1,0.0022637092
avg_payment_to_bill_ratio,0.0004596807
