feature,mean_abs_ig
PAY_0,0.4257384
num_delayed_months,0.36808306
max_pay_delay,0.24424031
LIMIT_BAL,0.18119983
avg_utilization,0.10721993
avg_pay_amt,0.10438344
MARRIAGE,0.10247162
PAY_AMT1,0.10131468
utilization_current,0.09257912
EDUCATION,0.08421548
avg_pay_delay,0.07857608
PAY_AMT2,0.07002092
recent_bill_change,0.06934327
PAY_6,0.069264494
BILL_AMT2,0.06351731
PAY_2,0.06318583
SEX,0.058045063
PAY_3,0.049176347
BILL_AMT1,0.046617787
PAY_AMT5,0.045122128
avg_bill_amt,0.044205107
PAY_4,0.04264719
AGE,0.04049557
BILL_AMT3,0.038579334
std_bill_amt,0.038376138
PAY_AMT3,0.036817815
BILL_AMT5,0.029573623
PAY_AMT6,0.028415926
PAY_5,0.028084755
max_bill_amt,0.024509879
max_pay_amt,0.023520911
BILL_AMT4,0.022967597
BILL_AMT6,0.022680579
std_pay_amt,0.022668775
recent_payment_change,0.017619845
PAY_AMT4,0.012037579
payment_to_bill_ratio_1,0.0027156968
avg_payment_to_bill_ratio,0.00080623315
