feature,mean_abs_ig
PAY_0,0.4130173
num_delayed_months,0.35968646
max_pay_delay,0.28867158
LIMIT_BAL,0.18869814
avg_pay_amt,0.13093022
avg_utilization,0.12979935
EDUCATION,0.11048743
max_bill_amt,0.10891769
PAY_6,0.103492126
PAY_2,0.10233694
utilization_current,0.09785292
BILL_AMT3,0.09256355
MARRIAGE,0.08738357
BILL_AMT1,0.084840745
PAY_AMT1,0.07965718
PAY_AMT2,0.07870654
SEX,0.07856394
BILL_AMT6,0.06462682
BILL_AMT2,0.06355509
recent_bill_change,0.061957806
PAY_4,0.060165875
BILL_AMT5,0.052781735
PAY_3,0.047921732
std_pay_amt,0.043882634
PAY_AMT5,0.041519724
std_bill_amt,0.037059855
PAY_5,0.03537522
BILL_AMT4,0.033416975
PAY_AMT3,0.031331196
avg_pay_delay,0.029154664
AGE,0.02763799
avg_bill_amt,0.025630996
recent_payment_change,0.02556007
PAY_AMT4,0.019620886
max_pay_amt,0.017407484
PAY_AMT6,0.008336621
avg_payment_to_bill_ratio,0.0019738756
payment_to_bill_ratio_1,0.0017329901
