feature,mean_abs_ig
PAY_0,0.45657235
num_delayed_months,0.36539206
max_pay_delay,0.25865734
avg_utilization,0.23781896
LIMIT_BAL,0.16602212
avg_pay_amt,0.16282317
BILL_AMT2,0.12778008
PAY_AMT1,0.111073926
avg_bill_amt,0.10793279
PAY_2,0.10767837
BILL_AMT1,0.09306328
BILL_AMT6,0.09297206
utilization_current,0.08943151
PAY_6,0.08394825
recent_bill_change,0.07648443
SEX,0.073111676
BILL_AMT5,0.06681441
EDUCATION,0.061647244
PAY_AMT5,0.061307516
std_pay_amt,0.06004611
PAY_4,0.05746542
PAY_AMT2,0.057434663
avg_pay_delay,0.05583809
PAY_3,0.052386943
MARRIAGE,0.049226854
PAY_5,0.046632312
std_bill_amt,0.04371268
max_bill_amt,0.042735398
BILL_AMT4,0.04124861
BILL_AMT3,0.040282525
PAY_AMT3,0.03603178
max_pay_amt,0.030099286
AGE,0.021000706
PAY_AMT6,0.019382766
PAY_AMT4,0.013576495
recent_payment_change,0.011284922
payment_to_bill_ratio_1,0.0030799801
avg_payment_to_bill_ratio,0.00032677897
