feature,mean_abs_importance,mean_mask
PAY_0,0.21965635,0.21965635
num_delayed_months,0.18504488,0.18504488
std_pay_amt,0.12208221,0.12208221
max_pay_delay,0.07503898,0.07503898
BILL_AMT4,0.07293408,0.07293408
PAY_AMT1,0.06329824,0.06329824
avg_bill_amt,0.03173578,0.03173578
recent_bill_change,0.029041195,0.029041195
PAY_6,0.028352052,0.028352052
BILL_AMT2,0.027265275,0.027265275
EDUCATION,0.023102505,0.023102505
PAY_AMT6,0.020330722,0.020330722
recent_payment_change,0.0144512495,0.0144512495
BILL_AMT5,0.011728553,0.011728553
avg_pay_amt,0.011568211,0.011568211
PAY_2,0.010288275,0.010288275
AGE,0.00719461,0.00719461
PAY_4,0.0069802417,0.0069802417
utilization_current,0.005757137,0.005757137
PAY_AMT2,0.0055320086,0.0055320086
PAY_AMT4,0.005124362,0.005124362
BILL_AMT1,0.0042457976,0.0042457976
PAY_AMT3,0.0038546035,0.0038546035
avg_payment_to_bill_ratio,0.0034928257,0.0034928257
max_pay_amt,0.00305091,0.00305091
payment_to_bill_ratio_1,0.0028029021,0.0028029021
max_bill_amt,0.0021898758,0.0021898758
avg_utilization,0.0017802323,0.0017802323
BILL_AMT6,0.0008454751,0.0008454751
MARRIAGE,0.00044366176,0.00044366176
PAY_3,0.00039865656,0.00039865656
PAY_5,0.0003215865,0.0003215865
PAY_AMT5,6.656716e-05,6.656716e-05
LIMIT_BAL,0.0,0.0
BILL_AMT3,0.0,0.0
std_bill_amt,0.0,0.0
avg_pay_delay,0.0,0.0
SEX,0.0,0.0
