feature,mean_abs_ig
PAY_0,0.48620373
num_delayed_months,0.31393102
max_pay_delay,0.29512122
avg_utilization,0.19466269
LIMIT_BAL,0.17435743
avg_pay_amt,0.13888063
BILL_AMT1,0.112201184
BILL_AMT2,0.10317358
avg_bill_amt,0.09917167
PAY_AMT1,0.09855584
EDUCATION,0.09051824
utilization_current,0.086405896
MARRIAGE,0.07483945
avg_pay_delay,0.066768855
recent_bill_change,0.06535686
PAY_5,0.063813806
SEX,0.06342465
PAY_AMT2,0.059151858
BILL_AMT3,0.054712743
PAY_6,0.054510683
PAY_2,0.048355788
PAY_3,0.045985203
PAY_AMT3,0.0446797
PAY_4,0.043399807
BILL_AMT6,0.042010438
BILL_AMT4,0.040811043
std_bill_amt,0.038322017
BILL_AMT5,0.035690915
AGE,0.03404066
max_bill_amt,0.032969013
max_pay_amt,0.031951837
PAY_AMT4,0.0316585
std_pay_amt,0.030657906
PAY_AMT5,0.020687712
PAY_AMT6,0.018056123
recent_payment_change,0.0144403
payment_to_bill_ratio_1,0.0008432206
avg_payment_to_bill_ratio,7.070861e-05
