feature,mean_abs_ig
PAY_0,0.52475935
num_delayed_months,0.41147557
max_pay_delay,0.24955869
avg_utilization,0.21275131
LIMIT_BAL,0.20304157
PAY_AMT1,0.14426585
avg_pay_amt,0.1210748
BILL_AMT5,0.11833461
utilization_current,0.111654356
avg_bill_amt,0.09966147
MARRIAGE,0.09938629
PAY_2,0.098946795
PAY_6,0.09644207
BILL_AMT3,0.08576248
std_pay_amt,0.08150749
recent_bill_change,0.08019541
BILL_AMT2,0.07260861
PAY_AMT2,0.07071719
BILL_AMT1,0.068389505
EDUCATION,0.06568717
avg_pay_delay,0.05917982
PAY_AMT5,0.05904625
SEX,0.05543854
PAY_3,0.047628745
max_pay_amt,0.045870148
PAY_4,0.04387378
PAY_5,0.04355638
BILL_AMT4,0.04141465
BILL_AMT6,0.034922894
AGE,0.034137532
std_bill_amt,0.032834973
max_bill_amt,0.028678397
PAY_AMT3,0.028465869
PAY_AMT4,0.026031807
PAY_AMT6,0.019540578
recent_payment_change,0.015141071
payment_to_bill_ratio_1,0.006581521
avg_payment_to_bill_ratio,0.0017743062
