feature,mean_abs_importance,mean_mask
num_delayed_months,0.21206823,0.21206823
max_pay_delay,0.1429744,0.1429744
PAY_0,0.124937676,0.124937676
PAY_AMT6,0.07915586,0.07915586
utilization_current,0.06325778,0.06325778
avg_pay_delay,0.055742808,0.055742808
EDUCATION,0.04914185,0.04914185
avg_pay_amt,0.044727013,0.044727013
BILL_AMT2,0.035700355,0.035700355
PAY_AMT3,0.030515317,0.030515317
PAY_2,0.027140792,0.027140792
BILL_AMT6,0.015546942,0.015546942
PAY_5,0.015286735,0.015286735
PAY_AMT2,0.014761335,0.014761335
BILL_AMT3,0.014708303,0.014708303
payment_to_bill_ratio_1,0.013601211,0.013601211
avg_utilization,0.011684121,0.011684121
MARRIAGE,0.0071584214,0.0071584214
std_pay_amt,0.006469366,0.006469366
avg_bill_amt,0.0062442524,0.0062442524
PAY_4,0.004869775,0.004869775
PAY_AMT1,0.0040323907,0.0040323907
BILL_AMT4,0.0033551846,0.0033551846
LIMIT_BAL,0.0031780098,0.0031780098
recent_bill_change,0.0030455794,0.0030455794
BILL_AMT1,0.0029792232,0.0029792232
std_bill_amt,0.0019390098,0.0019390098
PAY_AMT4,0.0019214889,0.0019214889
max_bill_amt,0.0018643368,0.0018643368
SEX,0.00091997767,0.00091997767
recent_payment_change,0.00073800527,0.00073800527
BILL_AMT5,0.00029003428,0.00029003428
PAY_3,3.7691792e-05,3.7691792e-05
PAY_AMT5,6.4944456e-06,6.4944456e-06
AGE,0.0,0.0
max_pay_amt,0.0,0.0
avg_payment_to_bill_ratio,0.0,0.0
PAY_6,0.0,0.0
