feature,mean_abs_ig
PAY_0,0.43999824
num_delayed_months,0.42046472
max_pay_delay,0.24001499
LIMIT_BAL,0.21167992
avg_utilization,0.1705344
avg_pay_amt,0.13248317
EDUCATION,0.13025017
utilization_current,0.10501988
MARRIAGE,0.09307802
BILL_AMT4,0.090678595
std_pay_amt,0.087784894
SEX,0.083791055
BILL_AMT1,0.06969806
PAY_AMT1,0.069272235
BILL_AMT3,0.0684892
PAY_6,0.06370122
PAY_2,0.056350004
PAY_AMT2,0.05343333
recent_bill_change,0.051540863
PAY_3,0.049982823
PAY_AMT5,0.049802776
max_bill_amt,0.048083197
PAY_4,0.04787432
BILL_AMT2,0.047661208
avg_pay_delay,0.04394892
PAY_5,0.039461944
std_bill_amt,0.037061542
avg_bill_amt,0.026621636
BILL_AMT5,0.026277738
PAY_AMT3,0.025945518
AGE,0.024125952
BILL_AMT6,0.022597475
PAY_AMT6,0.021800714
recent_payment_change,0.019520476
PAY_AMT4,0.017924923
max_pay_amt,0.016412228
payment_to_bill_ratio_1,0.00036712192
avg_payment_to_bill_ratio,0.0001209583
