feature,mean_abs_importance,mean_mask
max_pay_delay,0.25275216,0.25275216
PAY_0,0.106718734,0.106718734
PAY_2,0.098895535,0.098895535
avg_pay_delay,0.09049069,0.09049069
num_delayed_months,0.087886356,0.087886356
PAY_AMT1,0.0711257,0.0711257
avg_pay_amt,0.06666795,0.06666795
avg_utilization,0.0471596,0.0471596
avg_bill_amt,0.038794,0.038794
recent_payment_change,0.035184853,0.035184853
BILL_AMT5,0.027904168,0.027904168
BILL_AMT4,0.017328536,0.017328536
AGE,0.013744486,0.013744486
PAY_AMT3,0.009581761,0.009581761
utilization_current,0.009214624,0.009214624
PAY_AMT5,0.0057968246,0.0057968246
PAY_5,0.0056228293,0.0056228293
recent_bill_change,0.0027618527,0.0027618527
max_pay_amt,0.0026838956,0.0026838956
PAY_AMT6,0.0022970876,0.0022970876
BILL_AMT6,0.0018454015,0.0018454015
SEX,0.0018350899,0.0018350899
BILL_AMT2,0.001700049,0.001700049
std_bill_amt,0.00050328445,0.00050328445
PAY_3,0.00034507568,0.00034507568
std_pay_amt,0.00026593695,0.00026593695
BILL_AMT1,0.00022669452,0.00022669452
max_bill_amt,0.00022197684,0.00022197684
BILL_AMT3,0.00014520297,0.00014520297
PAY_AMT2,8.426952e-05,8.426952e-05
EDUCATION,7.663232e-05,7.663232e-05
payment_to_bill_ratio_1,7.359185e-05,7.359185e-05
PAY_6,4.708021e-05,4.708021e-05
MARRIAGE,1.7512359e-05,1.7512359e-05
LIMIT_BAL,5.52406e-07,5.52406e-07
PAY_AMT4,0.0,0.0
avg_payment_to_bill_ratio,0.0,0.0
PAY_4,0.0,0.0
