feature,mean_abs_importance,mean_mask
num_delayed_months,0.22103092,0.22103092
PAY_AMT2,0.13568139,0.13568139
max_pay_delay,0.13145451,0.13145451
std_pay_amt,0.082880706,0.082880706
utilization_current,0.070941225,0.070941225
BILL_AMT1,0.061774515,0.061774515
avg_utilization,0.048484895,0.048484895
avg_pay_delay,0.044568464,0.044568464
LIMIT_BAL,0.03609263,0.03609263
MARRIAGE,0.025823295,0.025823295
AGE,0.024136223,0.024136223
PAY_6,0.024065558,0.024065558
BILL_AMT6,0.016862659,0.016862659
BILL_AMT2,0.010412199,0.010412199
std_bill_amt,0.010090308,0.010090308
PAY_AMT5,0.008150256,0.008150256
recent_payment_change,0.008108227,0.008108227
avg_bill_amt,0.007291238,0.007291238
max_bill_amt,0.005356949,0.005356949
max_pay_amt,0.0045922776,0.0045922776
PAY_0,0.004246505,0.004246505
PAY_4,0.003965374,0.003965374
SEX,0.0033237261,0.0033237261
recent_bill_change,0.0026951851,0.0026951851
PAY_2,0.002201225,0.002201225
PAY_AMT1,0.0019133966,0.0019133966
EDUCATION,0.0013532022,0.0013532022
PAY_3,0.0010853483,0.0010853483
BILL_AMT5,0.00083053333,0.00083053333
avg_pay_amt,0.00028696892,0.00028696892
BILL_AMT3,0.00019226328,0.00019226328
PAY_AMT3,8.379351e-05,8.379351e-05
avg_payment_to_bill_ratio,2.402508e-05,2.402508e-05
BILL_AMT4,0.0,0.0
PAY_AMT4,0.0,0.0
PAY_AMT6,0.0,0.0
payment_to_bill_ratio_1,0.0,0.0
PAY_5,0.0,0.0
