feature,mean_abs_importance,mean_mask
num_delayed_months,0.27510932,0.27510932
PAY_0,0.19767341,0.19767341
avg_pay_amt,0.14059079,0.14059079
LIMIT_BAL,0.097136825,0.097136825
avg_utilization,0.08329519,0.08329519
avg_pay_delay,0.04958789,0.04958789
PAY_AMT4,0.02620121,0.02620121
avg_bill_amt,0.01869625,0.01869625
recent_bill_change,0.014775608,0.014775608
MARRIAGE,0.01343462,0.01343462
std_pay_amt,0.010826707,0.010826707
PAY_AMT2,0.01024086,0.01024086
PAY_AMT1,0.009168794,0.009168794
PAY_2,0.0074777254,0.0074777254
max_bill_amt,0.0061210166,0.0061210166
PAY_6,0.005800443,0.005800443
max_pay_amt,0.0056143114,0.0056143114
max_pay_delay,0.0052728346,0.0052728346
PAY_5,0.0033864432,0.0033864432
PAY_AMT3,0.002546831,0.002546831
PAY_AMT6,0.0024438915,0.0024438915
BILL_AMT3,0.002133637,0.002133637
SEX,0.0021311226,0.0021311226
EDUCATION,0.0017488322,0.0017488322
recent_payment_change,0.0015705588,0.0015705588
payment_to_bill_ratio_1,0.0014431914,0.0014431914
PAY_AMT5,0.0013282561,0.0013282561
utilization_current,0.0010260806,0.0010260806
std_bill_amt,0.0008816817,0.0008816817
BILL_AMT4,0.0007628456,0.0007628456
BILL_AMT5,0.00062572694,0.00062572694
PAY_4,0.00047917734,0.00047917734
avg_payment_to_bill_ratio,0.0003503707,0.0003503707
BILL_AMT2,7.2928444e-05,7.2928444e-05
BILL_AMT1,2.3843173e-05,2.3843173e-05
BILL_AMT6,2.0801654e-05,2.0801654e-05
AGE,0.0,0.0
PAY_3,0.0,0.0
