feature,mean_abs_importance,mean_mask
PAY_0,0.2749113,0.2749113
max_pay_delay,0.20466037,0.20466037
LIMIT_BAL,0.07870555,0.07870555
MARRIAGE,0.053636737,0.053636737
PAY_5,0.04339305,0.04339305
PAY_AMT3,0.032317057,0.032317057
PAY_AMT2,0.028933158,0.028933158
AGE,0.028813392,0.028813392
avg_pay_delay,0.025522586,0.025522586
avg_utilization,0.0247828,0.0247828
PAY_AMT4,0.024001468,0.024001468
avg_pay_amt,0.023493256,0.023493256
PAY_2,0.023411956,0.023411956
BILL_AMT4,0.019242635,0.019242635
max_bill_amt,0.018782422,0.018782422
avg_bill_amt,0.018507197,0.018507197
recent_bill_change,0.014784712,0.014784712
std_bill_amt,0.014090745,0.014090745
recent_payment_change,0.0097650625,0.0097650625
BILL_AMT1,0.0062604607,0.0062604607
BILL_AMT2,0.005033284,0.005033284
BILL_AMT3,0.0040619937,0.0040619937
std_pay_amt,0.0038734344,0.0038734344
BILL_AMT6,0.0034749561,0.0034749561
num_delayed_months,0.003296381,0.003296381
payment_to_bill_ratio_1,0.0028907002,0.0028907002
max_pay_amt,0.0022052072,0.0022052072
BILL_AMT5,0.001742258,0.001742258
PAY_3,0.0016893139,0.0016893139
EDUCATION,0.0014221034,0.0014221034
PAY_AMT6,0.00086141535,0.00086141535
PAY_AMT1,0.0007667466,0.0007667466
PAY_6,0.00043173696,0.00043173696
avg_payment_to_bill_ratio,0.00013195408,0.00013195408
PAY_AMT5,8.7310924e-05,8.7310924e-05
SEX,1.29795e-05,1.29795e-05
utilization_current,2.2544364e-06,2.2544364e-06
PAY_4,0.0,0.0
