feature,mean_abs_shap
max_pay_delay,0.21012549848403447
num_delayed_months,0.1300867559778506
PAY_0,0.07038112371339635
avg_pay_amt,0.05871840965098776
avg_pay_delay,0.04949555703661301
utilization_current,0.04251959157034908
LIMIT_BAL,0.02929827157842177
BILL_AMT1,0.022410038509754596
avg_bill_amt,0.021318309190274706
PAY_AMT3,0.019999628774854127
std_bill_amt,0.017299850928426452
max_pay_amt,0.016274676830584284
PAY_AMT2,0.0150746345966466
avg_utilization,0.015038779854788796
max_bill_amt,0.010235036620594601
PAY_AMT1,0.009411679197402094
avg_payment_to_bill_ratio,0.009142939242524165
payment_to_bill_ratio_1,0.008687271777689685
recent_bill_change,0.006217534001200249
std_pay_amt,0.004609965150672087
PAY_AMT4,0.003747618757831758
BILL_AMT3,0.00373102611604994
BILL_AMT2,0.003362387662773532
PAY_AMT6,0.003214420308032395
BILL_AMT4,0.0031224675457083855
recent_payment_change,0.0029513349505156344
PAY_AMT5,0.0021202675524791925
MARRIAGE,0.0017859333176522554
AGE,0.0017834979347959102
BILL_AMT5,0.001666115026050828
BILL_AMT6,0.0004728263409755064
SEX,0.0
EDUCATION,0.0
PAY_2,0.0
PAY_3,0.0
PAY_4,0.0
PAY_5,0.0
PAY_6,0.0
