feature,mean_abs_ig
PAY_0,0.427739
num_delayed_months,0.28378004
max_pay_delay,0.26674902
LIMIT_BAL,0.21414286
avg_utilization,0.16562529
EDUCATION,0.11110961
BILL_AMT1,0.09016909
PAY_AMT1,0.08814071
BILL_AMT2,0.08631157
MARRIAGE,0.08287813
avg_bill_amt,0.08026246
PAY_2,0.07863217
recent_bill_change,0.07094743
avg_pay_delay,0.07051892
utilization_current,0.06854194
avg_pay_amt,0.067060865
PAY_6,0.063105926
BILL_AMT4,0.062294208
max_bill_amt,0.06151696
SEX,0.05508027
std_bill_amt,0.04963427
BILL_AMT6,0.043281753
PAY_AMT3,0.042694066
max_pay_amt,0.036732823
BILL_AMT3,0.036320895
PAY_AMT5,0.034940496
PAY_AMT4,0.033725485
PAY_AMT2,0.027352434
std_pay_amt,0.026859505
AGE,0.02620836
PAY_5,0.022559034
PAY_4,0.020994069
PAY_3,0.01844684
BILL_AMT5,0.01627115
PAY_AMT6,0.014435588
recent_payment_change,0.013102078
payment_to_bill_ratio_1,0.004894498
avg_payment_to_bill_ratio,5.974291e-05
