feature,mean_abs_ig
PAY_0,0.4739111
num_delayed_months,0.401384
max_pay_delay,0.23764782
LIMIT_BAL,0.21763572
PAY_AMT1,0.1522305
utilization_current,0.13732491
BILL_AMT2,0.13221775
avg_utilization,0.11705035
EDUCATION,0.11533253
MARRIAGE,0.10725588
avg_pay_amt,0.10154956
PAY_AMT2,0.09950535
recent_bill_change,0.09768939
PAY_6,0.097444564
BILL_AMT6,0.08726356
BILL_AMT1,0.07519081
avg_pay_delay,0.07412269
SEX,0.07340755
PAY_2,0.067543104
PAY_3,0.062489364
BILL_AMT5,0.057559643
avg_bill_amt,0.05578647
PAY_5,0.054595508
std_bill_amt,0.053998984
PAY_AMT5,0.04965062
std_pay_amt,0.049630627
PAY_4,0.049436446
max_pay_amt,0.04730987
BILL_AMT4,0.039700568
max_bill_amt,0.03903297
PAY_AMT3,0.0383578
PAY_AMT6,0.03789406
AGE,0.03500707
BILL_AMT3,0.032042805
PAY_AMT4,0.019650556
recent_payment_change,0.018954491
payment_to_bill_ratio_1,0.00066855515
avg_payment_to_bill_ratio,0.00020155669
