feature,mean_abs_importance,mean_mask
max_pay_delay,0.20863901,0.20863901
avg_pay_delay,0.17563477,0.17563477
PAY_2,0.0772397,0.0772397
avg_pay_amt,0.07013331,0.07013331
PAY_0,0.061904594,0.061904594
num_delayed_months,0.04881752,0.04881752
PAY_3,0.04756021,0.04756021
utilization_current,0.039365813,0.039365813
LIMIT_BAL,0.038004816,0.038004816
std_pay_amt,0.03259032,0.03259032
PAY_AMT5,0.021140072,0.021140072
PAY_AMT1,0.020840455,0.020840455
BILL_AMT5,0.020752922,0.020752922
avg_payment_to_bill_ratio,0.020191327,0.020191327
SEX,0.018475283,0.018475283
MARRIAGE,0.01675087,0.01675087
PAY_AMT3,0.015831605,0.015831605
PAY_AMT2,0.012418179,0.012418179
max_pay_amt,0.011748134,0.011748134
BILL_AMT6,0.010663975,0.010663975
PAY_AMT6,0.010579712,0.010579712
payment_to_bill_ratio_1,0.0068004257,0.0068004257
PAY_5,0.0051885815,0.0051885815
max_bill_amt,0.0024306942,0.0024306942
BILL_AMT1,0.0014449455,0.0014449455
PAY_AMT4,0.0013285181,0.0013285181
PAY_6,0.00078842,0.00078842
recent_payment_change,0.0005895235,0.0005895235
avg_utilization,0.00057874905,0.00057874905
BILL_AMT4,0.00045452573,0.00045452573
BILL_AMT2,0.00044406194,0.00044406194
PAY_4,0.0003944655,0.0003944655
BILL_AMT3,0.00018745278,0.00018745278
recent_bill_change,5.1202253e-05,5.1202253e-05
EDUCATION,3.5846315e-05,3.5846315e-05
AGE,0.0,0.0
avg_bill_amt,0.0,0.0
std_bill_amt,0.0,0.0
