seed,fold,train_size,val_size,test_size,train_default_rate,val_default_rate,test_default_rate
42,0,20376,3596,5993,0.22124067530427954,0.22135706340378197,0.22125813449023862
42,1,20376,3596,5993,0.22124067530427954,0.22135706340378197,0.22125813449023862
42,2,20376,3596,5993,0.22124067530427954,0.22135706340378197,0.22125813449023862
42,3,20376,3596,5993,0.22124067530427954,0.22135706340378197,0.22125813449023862
42,4,20376,3596,5993,0.22124067530427954,0.22135706340378197,0.22125813449023862
2024,0,20376,3596,5993,0.22124067530427954,0.22135706340378197,0.22125813449023862
2024,1,20376,3596,5993,0.22124067530427954,0.22135706340378197,0.22125813449023862
2024,2,20376,3596,5993,0.22124067530427954,0.22135706340378197,0.22125813449023862
2024,3,20376,3596,5993,0.22124067530427954,0.22135706340378197,0.22125813449023862
2024,4,20376,3596,5993,0.22124067530427954,0.22135706340378197,0.22125813449023862
7,0,20376,3596,5993,0.22124067530427954,0.22135706340378197,0.22125813449023862
7,1,20376,3596,5993,0.22124067530427954,0.22135706340378197,0.22125813449023862
7,2,20376,3596,5993,0.22124067530427954,0.22135706340378197,0.22125813449023862
7,3,20376,3596,5993,0.22124067530427954,0.22135706340378197,0.22125813449023862
7,4,20376,3596,5993,0.22124067530427954,0.22135706340378197,0.22125813449023862
